"Serie","Periodo","Sexo|Total","Sexo|Hombres","Sexo|Mujeres","Grupo_de_edad|Menores_de_18_años","Grupo_de_edad|De_18_años_o_más","Grupo_de_edad|Entre_12_y_29_años_de_edad","Grupo_de_edad|De_0_a_11_años_y_de_30_años_o_más","Grupo_de_edad|De_65_años_o_más","Grupo_de_edad|Menores_de_65_años",
"Población_con_inseguridad_alimentaria_moderada_o_severa","2022","20,923.66","10,003.232","10,920.428","7,265.509","13,658.151","6,423.044","14,500.616","1,581.37","19,342.29",
"Población_con_inseguridad_alimentaria_moderada_o_severa","2020","26,291.354","12,752.881","13,538.473","9,136.431","17,154.923","8,244.611","18,046.743","1,895.62","24,395.734",
"Población_con_inseguridad_alimentaria_moderada_o_severa","2018","25,147.815","12,252.54","12,895.275","9,266.103","15,881.712","7,907.999","17,239.816","1,868.232","23,279.583",
"Población_con_inseguridad_alimentaria_moderada_o_severa","2016","24,118.681","11,617.755","12,500.926","9,217.215","14,901.466","7,573.864","16,544.817","1,629.169","22,489.512",
