"Serie","Periodo","Tipo_de_localidad|Nacional_Condición_de_embarazo|Total","Tipo_de_localidad|Nacional_Condición_de_embarazo|Embarazadas","Tipo_de_localidad|Nacional_Condición_de_embarazo|No_embarazadas","Tipo_de_localidad|Urbano_(localidades_de_2_500_y_más_habitantes)_Condición_de_embarazo|Total","Tipo_de_localidad|Urbano_(localidades_de_2_500_y_más_habitantes)_Condición_de_embarazo|Embarazadas","Tipo_de_localidad|Urbano_(localidades_de_2_500_y_más_habitantes)_Condición_de_embarazo|No_embarazadas","Tipo_de_localidad|Rural_(localidades_menores_a_2_500_habitantes)_Condición_de_embarazo|Total","Tipo_de_localidad|Rural_(localidades_menores_a_2_500_habitantes)_Condición_de_embarazo|Embarazadas","Tipo_de_localidad|Rural_(localidades_menores_a_2_500_habitantes)_Condición_de_embarazo|No_embarazadas",
"Prevalencia_de_la_anemia_en_las_mujeres_de_entre_15_y_49_años,_desglosada_por_embarazo_(medición_mediante_sangre_capilar)","2024","ND","ND","ND","ND","ND","ND","ND","ND","ND",
"Prevalencia_de_la_anemia_en_las_mujeres_de_entre_15_y_49_años,_desglosada_por_embarazo_(medición_mediante_sangre_capilar)","2018","18.12554","34.85062","17.53587","18.04563","32.00232","17.59668","18.41816","42.1313","17.31009",
"Prevalencia_de_la_anemia_en_las_mujeres_de_entre_15_y_49_años,_desglosada_por_embarazo_(medición_mediante_sangre_capilar)","2012","12.27162","17.9285","12.05139","12.069","17.03429","11.88589","12.99042","20.47896","12.64382",
"Prevalencia_de_la_anemia_en_las_mujeres_de_entre_15_y_49_años,_desglosada_por_embarazo_(medición_mediante_sangre_capilar)","2006","17.25778","24.2303","17.05352","17.09876","25.06092","16.87179","17.83912","21.53183","17.72024",
