"Serie","Periodo","Sexo|Total","Sexo|Hombres","Sexo|Mujeres","Grupo_de_edad|Menores_de_18_años","Grupo_de_edad|De_18_años_o_más","Grupo_de_edad|Entre_12_y_29_años_de_edad","Grupo_de_edad|De_0_a_11_años_y_de_30_años_o_más","Grupo_de_edad|De_65_años_o_más","Grupo_de_edad|Menores_de_65_años",
"Proporción_de_la_población_con_inseguridad_alimentaria_moderada_o_severa,_desglosada_por_sexo_y_edad_(2008_-_2014)<b><i>_[Histórico]_</i></b>","2014","23.3507375499","23.3843004172","23.3189012102","27.5672789999","21.2587442891","24.6498461633","22.7699287008","19.976631144","23.6266889407",
"Proporción_de_la_población_con_inseguridad_alimentaria_moderada_o_severa,_desglosada_por_sexo_y_edad_(2008_-_2014)<b><i>_[Histórico]_</i></b>","2012","23.3169486569","23.2322324315","23.397511576","28.1579375429","20.8720860264","24.0917887339","22.9591564689","19.9176922148","23.5871731777",
"Proporción_de_la_población_con_inseguridad_alimentaria_moderada_o_severa,_desglosada_por_sexo_y_edad_(2008_-_2014)<b><i>_[Histórico]_</i></b>","2010","24.8296966229","25.0466837057","24.6234286298","29.4396635558","22.3149429829","25.2696841436","24.6243830128","21.4300791475","25.0777312814",
"Proporción_de_la_población_con_inseguridad_alimentaria_moderada_o_severa,_desglosada_por_sexo_y_edad_(2008_-_2014)<b><i>_[Histórico]_</i></b>","2008","21.7433435351","21.8431993024","21.6496396489","25.6921074868","19.4531099488","22.0562373548","21.591842992","19.3043429752","21.9126547354",
