"Serie","Periodo","Sexo|Total","Sexo|Hombres","Sexo|Mujeres","Grupo_de_edad|Menores_de_18_años","Grupo_de_edad|De_18_años_o_más","Grupo_de_edad|Entre_12_y_29_años_de_edad","Grupo_de_edad|De_0_a_11_años_y_de_30_años_o_más","Grupo_de_edad|De_65_años_o_más","Grupo_de_edad|Menores_de_65_años",
"Proporción_de_la_población_con_inseguridad_alimentaria_moderada_o_severa,_desglosada_por_sexo_y_edad_(2016_-_2022)","2022","16.234029047","16.1898512946","16.2747084579","19.5268107712","14.8976673116","17.0165058446","15.9099694612","12.5622643836","16.6314611262",
"Proporción_de_la_población_con_inseguridad_alimentaria_moderada_o_severa,_desglosada_por_sexo_y_edad_(2016_-_2022)","2020","20.743959207","20.8132788293","20.6790829799","24.6631876368","19.1253274565","21.6051980917","20.372945012","15.9491409843","21.2401279147",
"Proporción_de_la_población_con_inseguridad_alimentaria_moderada_o_severa,_desglosada_por_sexo_y_edad_(2016_-_2022)","2018","20.3088112002","20.3798234469","20.2417953724","23.7973184424","18.7086835051","20.8985908962","20.0492705616","18.1197489078","20.5076390518",
"Proporción_de_la_población_con_inseguridad_alimentaria_moderada_o_severa,_desglosada_por_sexo_y_edad_(2016_-_2022)","2016","19.9667637856","19.8751333555","20.0526813895","23.1717944725","18.393145971","20.4813085774","19.739744606","17.2431388105","20.197875942",
