"Serie","Periodo","Sexo|Total","Sexo|Hombres","Sexo|Mujeres","Grupo_de_edad|Menores_de_18_años","Grupo_de_edad|De_18_años_o_más","Grupo_de_edad|Entre_12_y_29_años_de_edad","Grupo_de_edad|De_0_a_11_años_y_de_30_años_o_más","Grupo_de_edad|De_65_años_o_más","Grupo_de_edad|Menores_de_65_años",
"Población_total","2014","119,871.143","58,353.283","61,517.86","39,750.851","80,120.292","37,034.722","82,836.421","9,062.489","110,808.654",
"Población_total","2012","117,306.151","57,179.18","60,126.971","39,363.611","77,942.54","37,056.356","80,249.795","8,638.551","108,667.6",
"Población_total","2010","114,539.273","55,819.262","58,720.011","40,427.979","74,111.294","36,442.632","78,096.641","7,788.492","106,750.781",
"Población_total","2008","111,568.154","54,011.099","57,557.055","40,954.838","70,613.316","36,397.16","75,170.994","7,242.132","104,326.022",
