"Serie","Periodo","Sexo|Total","Sexo|Hombres","Sexo|Mujeres","Grupo_de_edad|Menores_de_18_años","Grupo_de_edad|De_18_años_o_más","Grupo_de_edad|Entre_12_y_29_años_de_edad","Grupo_de_edad|De_0_a_11_años_y_de_30_años_o_más","Grupo_de_edad|De_65_años_o_más","Grupo_de_edad|Menores_de_65_años",
"Población_total","2022","128,887.659","61,787.053","67,100.606","37,207.863","91,679.796","37,745.963","91,141.696","12,588.256","116,299.403",
"Población_total","2020","126,742.218","61,272.811","65,469.407","37,044.81","89,697.408","38,160.312","88,581.906","11,885.405","114,856.813",
"Población_total","2018","123,827.115","60,120.933","63,706.182","38,937.593","84,889.522","37,839.867","85,987.248","10,310.474","113,516.641",
"Población_total","2016","120,794.142","58,453.721","62,340.421","39,777.735","81,016.407","36,979.395","83,814.747","9,448.216","111,345.926",
