"Serie","Periodo","Población_con_inseguridad_alimentaria_moderada_o_severa|Nacional","Población_con_inseguridad_alimentaria_moderada_o_severa|Hombres","Población_con_inseguridad_alimentaria_moderada_o_severa|Mujeres","Población_con_inseguridad_alimentaria_moderada_o_severa|Población_analfabeta","Población_con_inseguridad_alimentaria_moderada_o_severa|Población_indígena","Población_con_inseguridad_alimentaria_moderada_o_severa|Hombres_indígenas","Población_con_inseguridad_alimentaria_moderada_o_severa|Mujeres_indígenas","Población_con_inseguridad_alimentaria_moderada_o_severa|Personas_con_discapacidad","Población_con_inseguridad_alimentaria_moderada_o_severa|Primera_infancia_(0_a_5_años)","Población_con_inseguridad_alimentaria_moderada_o_severa|Niños_y_niñas_(menores_de_18_años)","Población_con_inseguridad_alimentaria_moderada_o_severa|Jóvenes_(los_de_12_a_29_años)","Población_con_inseguridad_alimentaria_moderada_o_severa|Adultos_mayores_(65_años_o_más)","Población_con_inseguridad_alimentaria_moderada_o_severa|Hombres_adultos_mayores","Población_con_inseguridad_alimentaria_moderada_o_severa|Mujeres_adultos_mayores","Población_con_inseguridad_alimentaria_moderada_o_severa|Hombres_(Menos_de_4_horas_a_cuidados)_<sup>1</sup>","Población_con_inseguridad_alimentaria_moderada_o_severa|Hombres_(4_horas_o_más_a_cuidados)_<sup>1</sup>","Población_con_inseguridad_alimentaria_moderada_o_severa|Mujeres_(Menos_de_4_horas_a_cuidados)_<sup>1</sup>","Población_con_inseguridad_alimentaria_moderada_o_severa|Mujeres_(4_horas_o_más_a_cuidados)_<sup>1</sup>","Población_con_inseguridad_alimentaria_moderada_o_severa|Hombres_(Menos_de_4_horas_a_hogar)_<sup>2</sup>","Población_con_inseguridad_alimentaria_moderada_o_severa|Hombres_(4_horas_o_más_a_hogar)_<sup>2</sup>","Población_con_inseguridad_alimentaria_moderada_o_severa|Mujeres_(Menos_de_4_horas_a_hogar)_<sup>2</sup>","Población_con_inseguridad_alimentaria_moderada_o_severa|Mujeres_(4_horas_o_más_a_hogar)_<sup>2</sup>","Población_con_inseguridad_alimentaria_moderada_o_severa|Ámbito_rural","Población_con_inseguridad_alimentaria_moderada_o_severa|Ámbito_urbano",
"Porcentaje_de_población_con_inseguridad_alimentaria_moderada_o_severa","2022","16.234029047","16.1898512946","16.2747084579","23.7246746746","25.115678681","25.1860511976","25.0503232939","25.1280669232","18.3962553887","19.5268107712","17.0165058446","12.5622643836","13.0317316101","12.1820399649","15.3240214974","16.9525642172","15.7025811468","18.160887649","15.2846518094","18.3740064182","15.6827494153","16.8751395199","20.501716539","14.838248705",
"Porcentaje_de_población_con_inseguridad_alimentaria_moderada_o_severa","2020","20.743959207","20.8132788293","20.6790829799","27.9183212384","30.8110779497","31.3046995933","30.3441089856","29.2763186775","22.5004838964","24.6631876368","21.6051980917","15.9491409843","16.7761489079","15.2570921493","20.083065545","18.7096108896","19.959420758","22.8445954882","20.0020755983","22.1500391265","20.1429048669","20.7342642914","25.409096291","19.344434327",
"Porcentaje_de_población_con_inseguridad_alimentaria_moderada_o_severa","2018","20.3088112002","20.3798234469","20.2417953724","28.5928906529","31.3734311755","31.4919856922","31.2580936575","ND","22.0588821966","23.7973184424","20.8985908962","18.1197489078","18.5979341462","17.7154112615","19.8472606505","20.696059411","19.7989295867","21.5970855055","19.8704236269","20.2489572972","19.8435321074","20.6130296066","25.6488965574","18.5857847325",
"Porcentaje_de_población_con_inseguridad_alimentaria_moderada_o_severa","2016","19.9667637856","19.8751333555","20.0526813895","27.2905199241","30.3968638065","30.6975980202","30.1131945416","ND","21.6177715573","23.1717944725","20.4813085774","17.2431388105","17.7206400586","16.842768282","19.3038472024","19.475962006","19.5204421034","20.489156889","19.3017970786","20.2443927389","19.624790015","19.7820982513","24.593065582","18.5818666803",
