"Serie","Periodo","Grupos_de_Población|Nacional","Grupos_de_Población|Hombres","Grupos_de_Población|Mujeres","Grupos_de_Población|Población_analfabeta","Grupos_de_Población|Población_indígena","Grupos_de_Población|Hombres_indígenas","Grupos_de_Población|Mujeres_indígenas","Grupos_de_Población|Personas_con_discapacidad","Grupos_de_Población|Primera_infancia_(0_a_5_años)","Grupos_de_Población|Niños_y_niñas_(menores_de_18_años)","Grupos_de_Población|Jóvenes_(los_de_12_a_29_años)","Grupos_de_Población|Adultos_mayores_(65_años_o_más)","Grupos_de_Población|Hombres_adultos_mayores","Grupos_de_Población|Mujeres_adultos_mayores","Grupos_de_Población|Hombres_(Menos_de_4_horas_a_cuidados)_<sup>1</sup>","Grupos_de_Población|Hombres_(4_horas_o_más_a_cuidados)_<sup>1</sup>","Grupos_de_Población|Mujeres_(Menos_de_4_horas_a_cuidados)_<sup>1</sup>","Grupos_de_Población|Mujeres_(4_horas_o_más_a_cuidados)_<sup>1</sup>","Grupos_de_Población|Hombres_(Menos_de_4_horas_a_hogar)_<sup>2</sup>","Grupos_de_Población|Hombres_(4_horas_o_más_a_hogar)_<sup>2</sup>","Grupos_de_Población|Mujeres_(Menos_de_4_horas_a_hogar)_<sup>2</sup>","Grupos_de_Población|Mujeres_(4_horas_o_más_a_hogar)_<sup>2</sup>","Grupos_de_Población|Ámbito_rural","Grupos_de_Población|Ámbito_urbano",
"Porcentaje_de_población_con_carencia_por_acceso_a_la_alimentación_nutritiva_y_de_calidad","2022","18.18943193","18.1353948051","18.239189971","26.4895152666","30.4617326692","30.5247837567","30.4031767381","27.8369071707","20.0885354607","21.2029914215","18.8869787214","14.9666244474","15.5273210395","14.5125127998","17.4438130531","18.3586602256","17.8814040467","19.6646911861","17.3880779723","20.1128844593","17.7372795825","19.0568505304","23.9235966592","16.3140288173",
"Porcentaje_de_población_con_carencia_por_acceso_a_la_alimentación_nutritiva_y_de_calidad","2020","22.5420198974","22.5760101001","22.5102084703","30.8843666513","36.1693350838","36.3408976526","36.0070358896","31.8097679654","24.3790715438","26.3194439383","23.2907503482","18.4673218961","19.4063636426","17.6815219924","21.9709442282","19.999798788","21.9102962164","24.3886024321","21.8759443209","23.8194751254","21.9624149731","22.8205939784","28.6714727254","20.7032053933",
"Porcentaje_de_población_con_carencia_por_acceso_a_la_alimentación_nutritiva_y_de_calidad","2018","22.2291240493","22.3101993444","22.1526115001","31.4434007298","35.9164727002","36.0507853024","35.7858046951","ND","23.7311327002","25.5284809207","22.6152618348","20.7247018905","21.120533259","20.389999957","21.918634734","22.4757702176","21.9123192631","22.9268315149","21.9287545466","22.3426644918","21.8217072418","22.6390907276","28.7785295465","20.1158995847",
"Porcentaje_de_población_con_carencia_por_acceso_a_la_alimentación_nutritiva_y_de_calidad","2016","21.9052824598","21.8239879032","21.9815085946","29.9571693443","35.413386104","35.3306942764","35.4913856428","ND","23.1764421936","24.7182575881","22.3722805633","19.9591118577","20.2428706328","19.7211886037","21.4707001112","20.6483907379","21.6362348134","21.8258924693","21.431032352","22.4403244652","21.5738920635","21.8648418387","27.9300557326","20.101748788",
