"Periodo","cvegeo","Desglose","Proporción_de_la_población_con_inseguridad_alimentaria_moderada_o_severa,_por_desglose_geográfico_(Entidad_federativa)",
"2016",	13,"Hidalgo","24.4580683670736",
"2016",	14,"Jalisco","15.4054490147636",
"2016",	15,"México","20.7838168761214",
"2016",	16,"Michoacán de Ocampo","25.9239770137034",
"2016",	17,"Morelos","19.4985434123665",
"2016",	18,"Nayarit","19.9328574936287",
"2016",	19,"Nuevo León","14.3781808474305",
"2016",	20,"Oaxaca","31.3728937025126",
"2016",	21,"Puebla","20.0966297285664",
"2016",	22,"Querétaro","13.3781488288103",
"2016",	23,"Quintana Roo","16.3935960115717",
"2016",	24,"San Luis Potosí","20.1042058867122",
"2016",	25,"Sinaloa","22.7430858398067",
"2016",	26,"Sonora","20.9671418493936",
"2016",	27,"Tabasco","45.2863821386544",
"2016",	28,"Tamaulipas","19.2439408982071",
"2016",	29,"Tlaxcala","22.1545246086243",
"2016",	30,"Veracruz de Ignacio de la Llave","22.2122839466347",
"2016",	31,"Yucatán","19.282373602506",
"2016",	32,"Zacatecas","15.0642860860965",
