"Serie","Periodo","Población_con_carencia_a_la_seguridad_social|Nacional","Población_con_carencia_a_la_seguridad_social|Hombres","Población_con_carencia_a_la_seguridad_social|Mujeres","Población_con_carencia_a_la_seguridad_social|Población_analfabeta","Población_con_carencia_a_la_seguridad_social|Población_indígena","Población_con_carencia_a_la_seguridad_social|Hombres_indígenas","Población_con_carencia_a_la_seguridad_social|Mujeres_indígenas","Población_con_carencia_a_la_seguridad_social|Personas_con_discapacidad","Población_con_carencia_a_la_seguridad_social|Primera_infancia_(0_a_5_años)","Población_con_carencia_a_la_seguridad_social|Niños_y_niñas_(menores_de_18_años)","Población_con_carencia_a_la_seguridad_social|Jóvenes_(los_de_12_a_29_años)","Población_con_carencia_a_la_seguridad_social|Adultos_mayores_(65_años_o_más)","Población_con_carencia_a_la_seguridad_social|Hombres_adultos_mayores","Población_con_carencia_a_la_seguridad_social|Mujeres_adultos_mayores","Población_con_carencia_a_la_seguridad_social|Hombres_(Menos_de_4_horas_a_cuidados)_<sup>1</sup>","Población_con_carencia_a_la_seguridad_social|Hombres_(4_horas_o_más_a_cuidados)_<sup>1</sup>","Población_con_carencia_a_la_seguridad_social|Mujeres_(Menos_de_4_horas_a_cuidados)_<sup>1</sup>","Población_con_carencia_a_la_seguridad_social|Mujeres_(4_horas_o_más_a_cuidados)_<sup>1</sup>","Población_con_carencia_a_la_seguridad_social|Hombres_(Menos_de_4_horas_a_hogar)_<sup>2</sup>","Población_con_carencia_a_la_seguridad_social|Hombres_(4_horas_o_más_a_hogar)_<sup>2</sup>","Población_con_carencia_a_la_seguridad_social|Mujeres_(Menos_de_4_horas_a_hogar)_<sup>2</sup>","Población_con_carencia_a_la_seguridad_social|Mujeres_(4_horas_o_más_a_hogar)_<sup>2</sup>","Población_con_carencia_a_la_seguridad_social|Ámbito_rural","Población_con_carencia_a_la_seguridad_social|Ámbito_urbano",
"Porcentaje_de_la_población_que_presenta_carencia_por_acceso_a_los_servicios_de_salud","2022","39.0912088798","40.8449873795","37.4763083362","50.0273793994","56.9290196148","58.6666544645","55.3152674871","36.7040243734","45.8574066953","42.3178482462","41.9278718627","29.4280399128","30.6074782117","28.472805519","40.5926303589","37.3878094878","36.1846367193","38.7730585861","40.5372658848","38.0547786163","35.5334357256","39.0175944647","54.8176535975","33.9477529855",
"Porcentaje_de_la_población_que_presenta_carencia_por_acceso_a_los_servicios_de_salud","2020","28.1508289527","30.5226750573","25.9310184374","30.4474297765","32.7974296098","35.4022204486","30.3332822302","24.7690159332","31.1468096192","27.5095593688","32.0657388755","18.6828551488","20.0307346868","17.5549355276","30.8743801054","25.7517782108","25.1448109789","25.0974651743","30.7585175519","28.7309038169","25.206614765","24.9856206127","30.5436351541","27.4329954246",
"Porcentaje_de_la_población_que_presenta_carencia_por_acceso_a_los_servicios_de_salud","2018","16.1931730381","18.4620138879","14.0520177461","15.2884678809","15.3486927681","18.2483881858","12.5276811188","ND","17.5982432498","14.3433390965","19.5997438363","9.7300085331","10.1390642987","9.3841244861","19.030972432","18.0289024426","13.5126528198","11.8379101026","19.0235465755","17.139220229","14.1411148944","11.1488693675","13.7469312033","16.982474921",
"Porcentaje_de_la_población_que_presenta_carencia_por_acceso_a_los_servicios_de_salud","2016","15.5525538647","17.878403327","13.3717127127","14.1086029529","15.0841874866","17.4045623199","12.895480671","ND","15.8428871051","13.3048324647","18.9883339087","9.5209296655","10.4356350122","8.7539765639","18.5304766025","17.9783211569","13.1113757541","11.5388571815","18.4755451736","20.4738686987","13.4422026707","11.4462463892","13.1991641903","16.2570480139",
